sub_id,trial_index,from,to,from_face,to_face
1,1,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,2,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,3,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,4,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,5,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,6,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,7,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,8,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,9,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,10,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,11,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,12,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,13,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,14,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,15,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,16,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,17,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,18,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,19,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,20,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,21,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,22,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,23,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,24,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,25,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,26,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,27,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,28,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,29,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,30,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,31,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,32,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,33,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,34,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,35,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,36,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,37,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,38,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,39,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,40,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,41,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,42,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,43,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,44,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,45,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,46,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,47,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,48,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,49,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,50,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,51,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,52,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,53,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,54,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,55,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,56,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,57,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,58,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,59,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,60,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,61,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,62,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,63,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,64,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,65,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,66,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,67,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,68,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,69,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,70,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,71,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,72,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,73,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,74,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,75,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,76,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,77,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,78,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,79,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,80,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,81,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,82,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,83,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,84,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,85,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,86,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,87,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,88,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,89,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,90,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,91,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,92,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,93,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,94,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,95,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,96,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,97,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,98,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,99,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,100,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,101,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,102,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,103,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,104,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,105,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,106,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,107,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,108,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,109,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,110,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,111,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,112,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,113,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,114,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,115,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,116,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,117,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,118,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,119,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,120,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,121,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,122,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,123,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,124,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,125,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,126,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,127,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,128,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,129,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,130,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,131,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,132,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,133,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,134,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,135,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,136,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,137,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,138,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,139,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,140,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,141,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,142,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,143,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,144,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,145,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,146,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,147,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,148,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,149,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
1,150,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,151,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,152,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,153,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,154,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg
1,155,6,7,CFD-WM-218-074-N.jpg,CFD-AM-221-184-N.jpg
1,156,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg
1,157,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg
1,158,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg
1,159,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg
1,160,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg
1,161,4,5,CFD-AF-228-173-N.jpg,CFD-WF-211-001-N.jpg
1,162,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg
1,163,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg
1,164,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg
1,165,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg
1,166,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg
1,167,8,10,CFD-WM-232-070-N.jpg,CFD-LF-239-148-N.jpg
1,168,1,2,CFD-LM-210-156-N.jpg,CFD-AF-224-026-N.jpg
1,169,9,11,CFD-BF-201-080-N.jpg,CFD-BM-208-065-N.jpg
1,170,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg
3,1,2,3,CFD-BM-203-001-N.jpg,CFD-BF-210-130-N.jpg
3,2,8,10,CFD-AM-229-224-N.jpg,CFD-AF-252-135-N.jpg
3,3,10,12,CFD-AF-252-135-N.jpg,CFD-LM-212-143-N.jpg
3,4,9,11,CFD-AM-203-086-N.jpg,CFD-WM-208-068-N.jpg
3,5,3,4,CFD-BF-210-130-N.jpg,CFD-BF-223-250-N.jpg
3,6,3,5,CFD-BF-210-130-N.jpg,CFD-LF-230-203-N.jpg
3,7,1,8,CFD-WF-214-122-N.jpg,CFD-AM-229-224-N.jpg
3,8,2,4,CFD-BM-203-001-N.jpg,CFD-BF-223-250-N.jpg
3,9,8,9,CFD-AM-229-224-N.jpg,CFD-AM-203-086-N.jpg
3,10,4,5,CFD-BF-223-250-N.jpg,CFD-LF-230-203-N.jpg
3,11,11,12,CFD-WM-208-068-N.jpg,CFD-LM-212-143-N.jpg
3,12,5,7,CFD-LF-230-203-N.jpg,CFD-WM-209-038-N.jpg
3,13,12,13,CFD-LM-212-143-N.jpg,CFD-LF-222-147-N.jpg
3,14,6,7,CFD-LM-231-214-N.jpg,CFD-WM-209-038-N.jpg
3,15,1,2,CFD-WF-214-122-N.jpg,CFD-BM-203-001-N.jpg
3,16,11,13,CFD-WM-208-068-N.jpg,CFD-LF-222-147-N.jpg
