study,data_source,sub_id,from,to,from_face,to_face,edge,choice,confidence,rt_choice,rt_confidence
randomwalks,lab,1,1,10,CFD-LM-241-125-N.jpg,CFD-WF-247-065-N.jpg,0,1,2,29848.919999989448,3172.5900000019465
randomwalks,lab,1,3,4,CFD-WF-243-148-N.jpg,CFD-LF-254-125-N.jpg,1,1,3,4670.905000006314,945.529999997234
randomwalks,lab,1,1,9,CFD-LM-241-125-N.jpg,CFD-BM-246-192-N.jpg,0,0,2,3804.130000004079,2682.184999983292
randomwalks,lab,1,5,11,CFD-AF-252-135-N.jpg,CFD-BF-207-004-N.jpg,0,0,2,3687.390000006417,901.0750000015832
randomwalks,lab,1,5,13,CFD-AF-252-135-N.jpg,CFD-LF-214-090-N.jpg,0,0,2,3557.2099999990314,467.239999998128
randomwalks,lab,1,2,4,CFD-BF-221-223-N.jpg,CFD-LF-254-125-N.jpg,1,1,4,2521.85499999905,1527.2200000181329
randomwalks,lab,1,2,5,CFD-BF-221-223-N.jpg,CFD-AF-252-135-N.jpg,0,0,1,19947.329999995414,1169.7599999897648
randomwalks,lab,1,12,13,CFD-BM-203-001-N.jpg,CFD-LF-214-090-N.jpg,1,0,2,8868.699999991804,434.45500000962056
randomwalks,lab,1,3,11,CFD-WF-243-148-N.jpg,CFD-BF-207-004-N.jpg,0,1,3,2882.019999990007,632.3400000110269
randomwalks,lab,1,7,8,CFD-WM-237-052-N.jpg,CFD-AM-220-134-N.jpg,0,1,2,4704.559999983758,1753.9300000062212
randomwalks,lab,1,7,10,CFD-WF-247-065-N.jpg,CFD-AM-220-134-N.jpg,0,1,2,16246.185000025434,927.3699999903328
randomwalks,lab,1,6,12,CFD-AM-203-086-N.jpg,CFD-BM-203-001-N.jpg,0,0,2,17651.129999983823,908.4049999946728
randomwalks,lab,1,3,6,CFD-WF-243-148-N.jpg,CFD-AM-203-086-N.jpg,0,0,2,6621.060000004945,399.42500001052395
randomwalks,lab,1,2,9,CFD-BF-221-223-N.jpg,CFD-BM-246-192-N.jpg,0,0,2,5557.354999997187,371.27000000327826
randomwalks,lab,1,4,10,CFD-LF-254-125-N.jpg,CFD-WF-247-065-N.jpg,0,1,3,1755.8000000135507,1253.0399999814108
randomwalks,lab,1,9,11,CFD-BM-246-192-N.jpg,CFD-BF-207-004-N.jpg,1,1,2,3607.8750000160658,836.314999993192
randomwalks,lab,1,8,12,CFD-WM-237-052-N.jpg,CFD-BM-203-001-N.jpg,0,1,2,23133.6650000012,798.5249999910593
randomwalks,lab,1,9,13,CFD-BM-246-192-N.jpg,CFD-LF-214-090-N.jpg,0,1,3,5533.529999986058,2006.3350000127684
randomwalks,lab,1,1,12,CFD-LM-241-125-N.jpg,CFD-BM-203-001-N.jpg,0,0,2,4356.345000007423,432.3300000105519
randomwalks,lab,1,1,13,CFD-LM-241-125-N.jpg,CFD-LF-214-090-N.jpg,0,0,2,20679.464999993797,482.55000001518056
randomwalks,lab,1,8,9,CFD-WM-237-052-N.jpg,CFD-BM-246-192-N.jpg,1,1,3,1874.0499999839813,1229.7250000119675
randomwalks,lab,1,10,13,CFD-WF-247-065-N.jpg,CFD-LF-214-090-N.jpg,0,0,2,5674.579999991693,392.4649999826215
randomwalks,lab,1,3,8,CFD-WM-237-052-N.jpg,CFD-WF-243-148-N.jpg,0,1,4,2443.4499999913387,1348.4750000061467
randomwalks,lab,1,8,10,CFD-WM-237-052-N.jpg,CFD-WF-247-065-N.jpg,1,0,4,4238.920000003185,564.5249999947846
randomwalks,lab,1,5,8,CFD-WM-237-052-N.jpg,CFD-AF-252-135-N.jpg,0,0,2,28191.170000005513,336.6250000251457
randomwalks,lab,1,7,9,CFD-BM-246-192-N.jpg,CFD-AM-220-134-N.jpg,0,1,3,6092.8699999935925,1057.6099999891594
randomwalks,lab,1,8,13,CFD-WM-237-052-N.jpg,CFD-LF-214-090-N.jpg,0,0,2,3168.529999995604,512.1799999908544
randomwalks,lab,1,5,9,CFD-BM-246-192-N.jpg,CFD-AF-252-135-N.jpg,0,0,2,4850.884999992792,408.094999991823
randomwalks,lab,1,2,10,CFD-BF-221-223-N.jpg,CFD-WF-247-065-N.jpg,0,1,3,3123.430000006687,757.7499999897555
randomwalks,lab,1,2,11,CFD-BF-221-223-N.jpg,CFD-BF-207-004-N.jpg,0,1,4,2997.1300000036135,635.370000003837
randomwalks,lab,1,5,7,CFD-AF-252-135-N.jpg,CFD-AM-220-134-N.jpg,1,1,4,5037.219999998342,278.05500000249594
randomwalks,lab,1,10,12,CFD-WF-247-065-N.jpg,CFD-BM-203-001-N.jpg,1,1,4,1433.114999992773,529.9999999990687
randomwalks,lab,1,9,12,CFD-BM-246-192-N.jpg,CFD-BM-203-001-N.jpg,0,0,2,20600.964999990538,265.1699999985285
randomwalks,lab,1,1,2,CFD-LM-241-125-N.jpg,CFD-BF-221-223-N.jpg,1,1,4,2583.6600000038743,1066.1350000011737
randomwalks,lab,1,2,13,CFD-BF-221-223-N.jpg,CFD-LF-214-090-N.jpg,0,1,3,1657.3299999875017,411.44500000495464
randomwalks,lab,1,1,4,CFD-LM-241-125-N.jpg,CFD-LF-254-125-N.jpg,0,1,3,3724.4099999950263,347.6549999904819
randomwalks,lab,1,4,13,CFD-LF-254-125-N.jpg,CFD-LF-214-090-N.jpg,0,0,2,2470.694999996107,369.6049999850802
randomwalks,lab,1,5,12,CFD-AF-252-135-N.jpg,CFD-BM-203-001-N.jpg,0,0,2,28677.265000006184,271.32500000856817
randomwalks,lab,1,6,9,CFD-BM-246-192-N.jpg,CFD-AM-203-086-N.jpg,0,0,1,1529.619999986142,796.7950000022538
randomwalks,lab,1,7,12,CFD-BM-203-001-N.jpg,CFD-AM-220-134-N.jpg,0,1,3,2536.1350000025705,404.0050000185147
randomwalks,lab,1,10,11,CFD-WF-247-065-N.jpg,CFD-BF-207-004-N.jpg,0,1,3,4227.405000012368,444.4950000029057
randomwalks,lab,1,6,8,CFD-WM-237-052-N.jpg,CFD-AM-203-086-N.jpg,0,1,3,2112.584999995306,322.02500000130385
randomwalks,lab,1,2,3,CFD-BF-221-223-N.jpg,CFD-WF-243-148-N.jpg,1,1,4,1938.0200000014156,602.9249999849126
randomwalks,lab,1,2,6,CFD-BF-221-223-N.jpg,CFD-AM-203-086-N.jpg,0,0,2,5000.785000011325,468.1099999872968
randomwalks,lab,1,11,13,CFD-BF-207-004-N.jpg,CFD-LF-214-090-N.jpg,1,0,2,2809.4099999871105,1731.0249999864027
randomwalks,lab,1,6,10,CFD-WF-247-065-N.jpg,CFD-AM-203-086-N.jpg,0,1,3,11788.870000018738,378.6450000186451
randomwalks,lab,1,2,7,CFD-BF-221-223-N.jpg,CFD-AM-220-134-N.jpg,0,1,2,4606.185000011232,884.0400000042282
randomwalks,lab,1,1,5,CFD-LM-241-125-N.jpg,CFD-AF-252-135-N.jpg,0,1,3,8082.675000012852,1721.6350000239909
randomwalks,lab,1,4,9,CFD-LF-254-125-N.jpg,CFD-BM-246-192-N.jpg,0,0,2,7193.0649999994785,1108.9649999924004
randomwalks,lab,1,3,7,CFD-WF-243-148-N.jpg,CFD-AM-220-134-N.jpg,0,1,3,2614.919999992475,313.460000005085
randomwalks,lab,1,3,13,CFD-WF-243-148-N.jpg,CFD-LF-214-090-N.jpg,0,1,3,3661.85500001302,442.7150000119582
randomwalks,lab,1,6,7,CFD-AM-203-086-N.jpg,CFD-AM-220-134-N.jpg,1,1,3,32219.795000011567,669.9899999951012
randomwalks,lab,1,6,13,CFD-AM-203-086-N.jpg,CFD-LF-214-090-N.jpg,0,0,2,3460.5349999913014,599.1450000144541
randomwalks,lab,1,2,12,CFD-BF-221-223-N.jpg,CFD-BM-203-001-N.jpg,0,0,2,5581.139999995008,287.95500000659376
randomwalks,lab,1,4,5,CFD-LF-254-125-N.jpg,CFD-AF-252-135-N.jpg,1,0,3,3707.1050000083633,1246.4449999970384
