sub_id,name,face_id,node_id,race,gender,race_id,gender_id
1,1,CFD-LM-241-125-N.jpg,1,latinx,male,3,2
1,2,CFD-BF-221-223-N.jpg,2,black,female,2,1
1,3,CFD-WF-243-148-N.jpg,3,white,female,4,1
1,4,CFD-LF-254-125-N.jpg,4,latinx,female,3,1
1,5,CFD-AF-252-135-N.jpg,5,asian,female,1,1
1,6,CFD-AM-203-086-N.jpg,6,asian,male,1,2
1,7,CFD-AM-220-134-N.jpg,7,asian,male,1,2
1,8,CFD-WM-237-052-N.jpg,8,white,male,4,2
1,9,CFD-BM-246-192-N.jpg,9,black,male,2,2
1,10,CFD-WF-247-065-N.jpg,10,white,female,4,1
1,11,CFD-BF-207-004-N.jpg,11,black,female,2,1
1,12,CFD-BM-203-001-N.jpg,12,black,male,2,2
1,13,CFD-LF-214-090-N.jpg,13,latinx,female,3,1
2,1,CFD-LF-229-164-N.jpg,1,latinx,female,3,1
2,2,CFD-AM-207-108-N.jpg,2,asian,male,1,2
2,3,CFD-LM-214-165-N.jpg,3,latinx,male,3,2
2,4,CFD-WF-247-065-N.jpg,4,white,female,4,1
2,5,CFD-BM-226-276-N.jpg,5,black,male,2,2
2,6,CFD-AF-229-160-N.jpg,6,asian,female,1,1
2,7,CFD-WM-239-128-N.jpg,7,white,male,4,2
2,8,CFD-BM-229-209-N.jpg,8,black,male,2,2
2,9,CFD-AM-234-355-N.jpg,9,asian,male,1,2
2,10,CFD-LF-201-035-N.jpg,10,latinx,female,3,1
2,11,CFD-WF-211-001-N.jpg,11,white,female,4,1
2,12,CFD-BF-235-168-N.jpg,12,black,female,2,1
2,13,CFD-BF-221-223-N.jpg,13,black,female,2,1
3,1,CFD-WM-238-020-N.jpg,1,white,male,4,2
3,2,CFD-AM-202-079-N.jpg,2,asian,male,1,2
3,3,CFD-AF-205-155-N.jpg,3,asian,female,1,1
3,4,CFD-LF-254-125-N.jpg,4,latinx,female,3,1
3,5,CFD-LM-249-001-N.jpg,5,latinx,male,3,2
3,6,CFD-BM-237-188-N.jpg,6,black,male,2,2
3,7,CFD-AF-214-139-N.jpg,7,asian,female,1,1
3,8,CFD-AM-234-355-N.jpg,8,asian,male,1,2
3,9,CFD-WM-235-147-N.jpg,9,white,male,4,2
3,10,CFD-WF-252-159-N.jpg,10,white,female,4,1
3,11,CFD-BF-247-179-N.jpg,11,black,female,2,1
3,12,CFD-BM-205-001-N.jpg,12,black,male,2,2
3,13,CFD-LM-253-075-N.jpg,13,latinx,male,3,2
4,1,CFD-WF-213-031-N.jpg,1,white,female,4,1
4,2,CFD-WM-245-123-N.jpg,2,white,male,4,2
4,3,CFD-AF-224-026-N.jpg,3,asian,female,1,1
4,4,CFD-BF-222-240-N.jpg,4,black,female,2,1
4,5,CFD-WM-239-128-N.jpg,5,white,male,4,2
4,6,CFD-AM-211-052-N.jpg,6,asian,male,1,2
4,7,CFD-LF-229-164-N.jpg,7,latinx,female,3,1
4,8,CFD-LM-239-075-N.jpg,8,latinx,male,3,2
4,9,CFD-AF-209-006-N.jpg,9,asian,female,1,1
4,10,CFD-BF-210-130-N.jpg,10,black,female,2,1
4,11,CFD-BM-217-082-N.jpg,11,black,male,2,2
4,12,CFD-LF-206-078-N.jpg,12,latinx,female,3,1
4,13,CFD-AM-242-176-N.jpg,13,asian,male,1,2
5,1,CFD-AM-244-222-N.jpg,1,asian,male,1,2
5,2,CFD-BM-207-024-N.jpg,2,black,male,2,2
5,3,CFD-AM-249-163-N.jpg,3,asian,male,1,2
5,4,CFD-BF-221-223-N.jpg,4,black,female,2,1
5,5,CFD-BF-212-315-N.jpg,5,black,female,2,1
5,6,CFD-LM-200-045-N.jpg,6,latinx,male,3,2
5,7,CFD-AF-203-077-N.jpg,7,asian,female,1,1
5,8,CFD-LM-208-110-N.jpg,8,latinx,male,3,2
5,9,CFD-WF-227-002-N.jpg,9,white,female,4,1
5,10,CFD-WM-209-038-N.jpg,10,white,male,4,2
