"view_history","rt","trial_purpose","trial_type","trial_index","time_elapsed","internal_node_id","sub_id","bonus","stimulus","response","rep","display_left","from_id","from_face","from_name","to_id","to_face","to_name","friendship","correct","slider_start"
"[{""page_index"":0,""viewing_time"":2436}]","2437","confirm_correct","instructions","0","2436","0.0-0.0","21","3","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":280190},{""page_index"":1,""viewing_time"":2184},{""page_index"":2,""viewing_time"":1983}]","284357","instructions","instructions","1","286787","0.0-1.0","21","3","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2697},{""page_index"":1,""viewing_time"":1466},{""page_index"":2,""viewing_time"":9850},{""page_index"":3,""viewing_time"":8017}]","22030","instructions","instructions","2","308819","0.0-2.0","21","3","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","3","309327","0.0-3.0-0.0","21","3","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","4","311834","0.0-3.0-1.0","21","3","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Ayden
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BM-235-226-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Christian
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BM-200-046-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","1","stims/img/CFD-BM-200-046-N.jpg","Christian","8","stims/img/CFD-BM-235-226-N.jpg","Ayden","","",""
"","null","fixation","html-keyboard-response","5","312341","0.0-3.0-0.1","21","3","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","6","314847","0.0-3.0-1.1","21","3","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Lucas
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AM-244-222-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Ava
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BF-244-231-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","4","stims/img/CFD-BF-244-231-N.jpg","Ava","5","stims/img/CFD-AM-244-222-N.jpg","Lucas","","",""
"","null","fixation","html-keyboard-response","7","315352","0.0-3.0-0.2","21","3","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","8","317861","0.0-3.0-1.2","21","3","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Ava
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BF-244-231-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Elizabeth
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-WF-208-068-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","2","stims/img/CFD-WF-208-068-N.jpg","Elizabeth","4","stims/img/CFD-BF-244-231-N.jpg","Ava","","",""
"","null","fixation","html-keyboard-response","9","318367","0.0-3.0-0.3","21","3","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","10","320875","0.0-3.0-1.3","21","3","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Ayden
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BM-235-226-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Ethan
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AM-229-224-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","true","8","stims/img/CFD-BM-235-226-N.jpg","Ayden","9","stims/img/CFD-AM-229-224-N.jpg","Ethan","","",""
"","null","fixation","html-keyboard-response","11","321380","0.0-3.0-0.4","21","3","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","12","323886","0.0-3.0-1.4","21","3","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Joseph
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-LM-212-143-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Olivia
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-WF-231-099-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","12","stims/img/CFD-WF-231-099-N.jpg","Olivia","13","stims/img/CFD-LM-212-143-N.jpg","Joseph","","",""
"","null","fixation","html-keyboard-response","13","324393","0.0-3.0-0.5","21","3","<div style = ""font-size:60px;""> + </div>","null","","","","","","","","","","",""
"","null","learning_trial","html-keyboard-response","14","326901","0.0-3.0-1.5","21","3","
    <div class = 'grid-container'>
        <div class='header-text'> Friends </div>
        <div>
            Vicky
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-AF-229-160-N.jpg'>
        </div>
        <div> &nbsp; + &nbsp; </div>
        <div>
            Ayden
            <img width='150' style='border:2px black solid;' src='stims/img/CFD-BM-235-226-N.jpg'>
        </div>
        <div class='header-text'> &nbsp; </div>
    </div>
    ","null","0","false","8","stims/img/CFD-BM-235-226-N.jpg","Ayden","10","stims/img/CFD-AF-229-160-N.jpg","Vicky","","",""
