subject,age,gender,total_group,mutual,response
1,24,male,few,low,2
2,37,female,few,low,-3
3,20,male,few,low,1
4,43,male,few,low,1
5,24,male,few,low,1
6,30,female,few,low,-3
7,56,female,few,low,-3
8,31,female,few,low,-2
9,53,female,few,low,-1
10,49,female,few,low,-2
11,60,female,few,low,-2
12,37,male,few,low,-1
13,64,female,few,low,1
14,24,male,few,low,-2
15,55,female,few,low,-2
16,43,female,few,low,-3
17,64,male,few,low,-2
18,28,male,few,low,-1
19,38,male,few,low,-2
20,31,male,few,low,-1
21,31,male,few,low,-2
22,27,female,few,low,-1
23,59,female,few,low,-2
24,51,female,few,low,-3
25,32,male,few,low,-1
26,26,female,few,low,-1
27,24,female,few,low,-3
28,32,male,few,low,-1
29,46,male,few,low,-2
30,30,male,few,low,-2
31,30,female,few,low,-3
32,29,female,few,low,-2
33,56,male,few,low,-3
34,36,male,few,low,-3
35,35,female,few,low,-3
36,49,female,few,low,-3
37,35,male,few,low,-1
38,48,female,few,low,2
39,60,male,few,low,-1
40,26,male,few,low,-2
41,35,male,few,low,-2
42,42,female,few,low,-2
43,22,female,few,low,-1
44,61,female,few,low,-2
45,37,male,few,low,-2
46,26,male,few,low,-3
47,39,female,few,low,-1
48,46,male,few,low,-1
49,32,male,few,low,-2
50,45,male,few,low,-2
51,63,female,few,low,-1
52,42,male,few,low,0
53,27,male,few,low,-3
54,33,male,few,low,-1
55,28,male,few,low,-3
56,23,male,few,low,-2
57,43,female,few,low,-3
58,38,female,few,low,-2
59,,male,few,low,-2
60,42,female,few,low,-2
61,44,male,few,low,-1
62,35,male,few,low,-3
63,40,female,few,low,-3
64,30,female,few,low,-3
65,39,male,few,low,-2
66,31,female,few,low,-3
67,25,male,few,low,-3
68,33,male,few,low,-1
69,38,female,few,low,-2
70,26,male,few,low,-3
71,24,male,few,low,1
72,71,male,few,low,0
73,32,male,few,low,-2
74,59,male,few,low,-1
75,52,male,few,low,1
76,32,male,few,low,-2
77,24,female,few,low,-3
78,36,male,few,low,-3
79,59,male,few,low,-2
80,42,male,few,low,-2
81,49,female,few,low,-2
82,57,female,few,low,-2
83,79,male,few,low,1
84,55,female,few,low,2
85,55,male,few,low,-1
86,72,female,few,low,-2
87,56,female,few,low,-3
88,65,male,few,low,-1
89,30,male,few,low,1
90,37,female,few,low,-2
91,41,male,few,low,-2
92,25,male,few,low,-2
93,44,female,few,low,1
94,40,male,few,low,-3
95,24,male,few,low,-2
96,26,female,few,low,-3
97,34,female,few,low,-3
98,25,male,few,low,-2
99,43,male,few,low,-1
100,45,female,few,low,-1
101,40,female,few,low,-1
102,39,male,few,low,-2
103,32,male,few,low,-2
104,39,female,few,low,-3
105,28,male,few,low,-2
106,35,male,few,low,-1
107,26,male,few,low,-1
108,39,male,few,low,-3
109,24,male,few,low,-2
110,37,female,few,low,-1
111,27,male,few,low,-1
112,30,female,few,low,-2
113,32,male,few,low,-2
114,32,male,few,low,-2
115,41,male,few,low,-3
116,23,male,few,low,-2
117,33,male,few,low,-2
118,38,female,few,low,0
119,33,female,few,low,1
120,44,female,few,low,-1
121,33,female,few,low,-3
122,43,male,few,low,0
123,37,female,few,low,-2
124,42,male,few,low,-1
125,53,female,few,low,-3
126,51,female,few,low,-3
127,37,male,few,low,-2
128,36,male,few,low,-2
129,35,male,few,low,-1
130,29,male,few,low,-3
131,38,male,few,low,-2
132,26,male,few,low,3
133,35,male,few,low,-2
134,33,male,few,low,0
135,32,male,few,low,-1
136,58,male,few,low,0
137,29,male,few,low,-1
138,21,male,few,low,-3
139,45,female,few,low,-2
140,30,male,few,low,0
141,39,male,few,low,-3
142,30,male,few,low,3
143,60,male,few,low,-2
144,37,female,few,low,-3
145,36,female,few,low,-2
146,38,male,few,low,-1
147,33,male,few,low,-2
148,36,male,few,low,-3
149,37,male,few,low,-3
150,35,female,few,low,-2
151,26,male,few,low,-2
152,24,male,few,low,-3
153,26,male,few,low,-1
154,,female,few,low,-3
155,34,male,few,low,-2
156,39,female,few,low,-2
157,22,female,few,low,0
158,39,male,few,low,-2
159,31,female,few,low,-2
160,30,male,few,low,-2
161,39,male,few,low,-2
162,44,female,few,low,0
163,54,male,few,low,-1
164,64,female,few,low,2
165,35,male,few,low,-1
166,34,male,few,low,-2
167,36,male,few,low,0
168,24,male,few,low,-2
169,32,male,few,low,1
170,40,male,few,low,-1
171,32,male,few,low,-2
172,28,female,few,low,-3
173,36,male,few,low,-2
174,57,female,few,low,-1
175,32,female,few,low,-3
176,42,male,few,low,-3
177,29,male,few,low,-2
178,43,male,few,low,-3
179,34,male,few,low,-2
180,40,female,few,low,-2
1,24,male,few,half,-2
2,37,female,few,half,1
3,20,male,few,half,0
4,43,male,few,half,1
5,24,male,few,half,-1
6,30,female,few,half,1
7,56,female,few,half,1
8,31,female,few,half,-1
9,53,female,few,half,2
10,49,female,few,half,-1
11,60,female,few,half,1
12,37,male,few,half,0
13,64,female,few,half,1
14,24,male,few,half,1
15,55,female,few,half,0
16,43,female,few,half,1
17,64,male,few,half,1
18,28,male,few,half,1
19,38,male,few,half,0
20,31,male,few,half,0
21,31,male,few,half,-1
22,27,female,few,half,1
23,59,female,few,half,-1
24,51,female,few,half,1
25,32,male,few,half,1
26,26,female,few,half,0
27,24,female,few,half,-1
28,32,male,few,half,1
29,46,male,few,half,1
30,30,male,few,half,1
31,30,female,few,half,1
32,29,female,few,half,-1
33,56,male,few,half,1
34,36,male,few,half,-1
35,35,female,few,half,-2
36,49,female,few,half,-1
37,35,male,few,half,1
38,48,female,few,half,2
39,60,male,few,half,-1
40,26,male,few,half,1
41,35,male,few,half,-1
42,42,female,few,half,0
43,22,female,few,half,-1
44,61,female,few,half,0
45,37,male,few,half,1
46,26,male,few,half,2
47,39,female,few,half,1
48,46,male,few,half,1
49,32,male,few,half,1
50,45,male,few,half,0
51,63,female,few,half,1
52,42,male,few,half,1
53,27,male,few,half,1
54,33,male,few,half,1
55,28,male,few,half,0
56,23,male,few,half,1
